USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Source,Projections

USA Total,"2,198,551","+15,601","118,816",+533,"1,187,641","6,642",359,"25,517,221","77,091", , 
New York ,"405,705 ",+566 ,"30,980 ",+28 ,"288,547 ","20,855","1,593","3,051,778 ","156,875",[view by county] [1] [2] [3] [4]  ,[projections]
New Jersey ,"170,152 ",+348 ,"12,831 ",+49 ,"123,358 ","19,157","1,445","1,131,782 ","127,422",[view by county] [1]  ,[projections]
California ,"155,842 ",+241 ,"5,123 ",+4 ,"108,540 ","3,944",130,"2,937,755 ","74,351",[view by county] [1]  ,[projections]
Illinois ,"133,016 ",,"6,326 ", ,"42,645 ","10,497",499,"1,210,473 ","95,525",[1] [2] [3] [4]  ,[projections]
Massachusetts ,"105,690 ",,"7,647 ", ,"13,422 ","15,334","1,109","770,761 ","111,826",[1]  ,[projections]
Texas ,"91,995 ",+615 ,"2,030 ",+14 ,"30,860 ","3,173",70,"1,499,083 ","51,700",[view by county] [1] [2]  ,[projections]
Pennsylvania ,"84,083 ",+394 ,"6,347 ",+25 ,"20,486 ","6,568",496,"612,700 ","47,860",[view by county] [1]  ,[projections]
Florida ,"80,109 ","+2,783 ","2,996 ",+55 ,"61,423 ","3,730",139,"1,461,297 ","68,038",[view by county] [1]  ,[projections]
Michigan ,"66,269 ",+184 ,"6,034 ",+17 ,"15,271 ","6,636",604,"982,084 ","98,338",[1] [2] [3] [4]  , [projections]
Maryland ,"62,409 ",+377 ,"2,982 ",+35 ,"54,860 ","10,323",493,"500,791 ","82,835",[1]  ,[projections]
Georgia ,"59,078 ",+664 ,"2,529 ",+35 ,"54,777 ","5,564",238,"731,193 ","68,867",[1]  ,[projections]
Virginia ,"55,331 ",+445 ,"1,570 ",+18 ,"46,531 ","6,482",184,"536,989 ","62,912",[1] [2]  ,[projections]
Louisiana ,"47,706  ",+534 ,"3,047 ",+24 ,"7,642 ","10,262",655,"532,717 ","114,593",[view by county] [1]  ,[projections]
North Carolina ,"45,906 ",+793 ,"1,169 ",+29 ,"15,518 ","4,377",111,"638,479 ","60,877",[1] [2] [3] [4]  ,[projections]
Connecticut ,"45,235 ",,"4,204 ", ,"32,339 ","12,688","1,179","356,377 ","99,957",[1]  ,[projections]
Ohio ,"42,013 ",+401 ,"2,597 ",+19 ,"30,497 ","3,594",222,"565,034 ","48,339",[view by county] [1] [2] [3]  ,[projections]
Indiana ,"40,786 ",+356 ,"2,447 ",+14 ,"9,595 ","6,058",363,"363,745 ","54,030",[1] [2]  ,[projections]
Arizona ,"39,097 ","+2,392 ","1,219 ",+25 ,"31,416 ","5,371",167,"479,102 ","65,822",[1]  ,[projections]
Tennessee ,"31,830 ",+670 ,493 ,+10  ,"11,441 ","4,661",72,"629,978 ","92,248",[1] [2] [3]  ,[projections]
Minnesota ,"30,882 ",+189 ,"1,344 ",+9 ,"2,532 ","5,476",238,"429,145 ","76,095",[1] [2]  ,[projections]
Colorado ,"29,299 ",,"1,605 ", ,"23,498 ","5,088",279,"250,523 ","43,503",[1]  ,[projections]
Washington ,"26,956 ",+55 ,"1,224 ", ,"16,969 ","3,540",161," 471,265 ","61,887",[view by county] [1]  ,[projections]
Alabama ,"26,912 ",+640 ,785 ,+11 ,"12,619 ","5,489",160,"302,674 ","61,730",[1]  ,[projections]
Iowa ,"24,179 ",+97 ,665 ,+7 ,"8,740 ","7,664",211,"230,261 ","72,981",[1] [2]  ,[projections]
Wisconsin ,"23,198 ",+266 ,703 ,+9 ,"5,658 ","3,984",121,"426,379 ","73,230",[1] [2] [3] [4] [5] [6]  ,[projections]
Mississippi ,"20,152 ",+353 ,915 ,+20 ,"3,914 ","6,771",307,"240,664 ","80,864",[1] [2]  ,[projections]
South Carolina ,"19,990 ",+612 , 607 ,+5 ,"10,701 ","3,883",118,"293,754 ","57,054",[1] [2]  ,[projections]
Nebraska ,"16,851 ",,220 , ,"6,280 ","8,711",114,"139,690 ","72,213",[1] [2]  , [projections]
Missouri ,"16,696 ",,895 , ,"12,015 ","2,720",146,"314,356 ","51,220",[1] [2] [3] [4] [5] [6] [7]  ,[projections]
Rhode Island ,"16,164 ",+71 ,865 ,+14 ,"13,864 ","15,258",817,"203,618 ","192,208",[1]  ,[projections]
Utah ,"14,937 ",+329 ,145 ,+2 ,"6,412 ","4,659",45,"272,938 ","85,135",[1]  ,[projections]
Arkansas ,"12,917 ",,182 , ,"4,383 ","4,280",60,"204,138 ","67,645",[1] [2]  ,[projections]
Kentucky ,"12,647 ",,505 , ,"8,726 ","2,831",113,"325,065 ","72,759",[1] [2]  ,[projections]
Nevada ,"11,658 ",+379 ,467 ,+2 ,"3,127 ","3,785",152,"248,498 ","80,677",[1] [2]  ,[projections]
Kansas ,"11,471 ",,247 , ,"5,097 ","3,937",85,"136,962 ","47,012",[1] [2] [3] [4] [5] [6] [7]  ,[projections]
Delaware ,"10,403 ",+63 ,424 ,+1 ,"3,807 ","10,683",435,"84,686 ","86,968",[1]  ,[projections]
New Mexico ,"9,845 ",,440 , ,"5,245 ","4,695",210,"267,921 ","127,774",[1] [2]  ,[projections]
District Of Columbia ,"9,818 ",+19 ,520 ,+5 ,"8,155 ","13,911",737,"65,846 ","93,299",[1]  ,[projections]
Oklahoma ,"8,645 ",+228 ,363 ,+4 ,"1,704 ","2,185",92,"263,882 ","66,688",[1] [2]  ,[projections]
Oregon ,"6,098 ",+278 ,182 ,+2 ,"3,485 ","1,446",43,"175,941 ","41,715",[1] [2]  ,[projections]
South Dakota ,"5,966 ",+38 ,77 ,+2 ,990 ,"6,744",87,"66,395 ","75,052",[1]  ,[projections]
New Hampshire ,"5,345 ",,320 , ,984 ,"3,931",235,"114,953 ","84,542",[1]  ,[projections]
Idaho ,"3,462 ",,88 , ,497 ,"1,937",49,"65,306 ","36,544",[1] [2] [3]  ,[projections]
North Dakota ,"3,124 ",+23 ,74 , ,330 ,"4,099",97,"88,651 ","116,330",[1]  ,[projections]
Maine ,"2,819 ",+9 ,101 , ,485 ,"2,097",75,"77,614 ","57,739",[1] [2]  ,[projections]
West Virginia ,"2,332 ",+10 ,88 , ,637 ,"1,301",49,"132,446 ","73,904",[1]  ,[projections]
Vermont ,"1,131 ",+3 ,55 , ,164 ,"1,813",88,"52,557 ","84,227",[1]  ,[projections]
Wyoming ,"1,079 ",,18 , ,223 ,"1,864",31,"33,589 ","58,036",[1] [2]  ,[projections]
Hawaii ,736 ,,17 , ,89 ,520,12,"71,575 ","50,552",[1] [2] [3]  ,[projections]
Alaska ,664 ,,12 , ,235 ,908,16,"74,437 ","101,753",[1]  ,[projections]
Montana ,614 ,+5 ,19 , ,60 ,574,18,"63,577 ","59,486",[1] [2] [3]  ,[projections]
Guam ,186 ,+1 ,5 , ,12 ,,,"8,820",,[1]  ,
Northern Mariana Islands ,30 ,,2 , ,9 ,,,"8,169",,[1]  ,
Puerto Rico ,"5,951 ",+61 ,147 , ,"4,954 ","1,757",43,"13,022","3,845",[1] [2] [3]  ,
United States Virgin Islands ,73 ,,6 , ,3 ,,,"2,383",,[1]  ,
Veteran Affairs ,"17,242 ",+87 ,"1,477 ",+39 ,"1,835 ",,,"242,515",,[1] [2] [3]  ,
US Military ,"12,152 ",,36 , ,"5,307 ",,,,,[1] [2]  ,
 Federal Prisons ,"6,890 ",,86 , ,"1,388 ",,,"16,839",,[1]  ,
Navajo Nation ,"6,633 ",+22 ,311 , ,"3,191 ",,,"44,000",,[1] [2]  ,
Grand Princess Ship ,103 ,,3 , ,100 ,,,,,[1]  ,
Wuhan Repatriated ,3 ,,, ,3 ,,,3,, ,
Diamond Princess Ship ,46 ,,, ,46 ,,,46,, ,
